Symbol,Name,Last Sale,Net Change,% Change,Market Cap
EP^C,El Paso Corporation Preferred Stock,$49.70,UNCH,--,NA
EPR^C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,$24.1839,-0.1761,-0.723%,NA
EPR^E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,$31.03,-0.1713,-0.549%,NA
EPR^G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,$20.49,-0.35,-1.679%,NA
EQH^A,"Equitable Holdings, Inc. Depositary Shares",$21.32,0.02,0.094%,NA
EQH^C,"Equitable Holdings, Inc. Depositary Shares, each representing a 1/1,000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock, Series C",$17.36,0.07,0.405%,NA
EQV,EQV Ventures Acquisition Corp. Class A Ordinary Shares,$10.42,UNCH,--,NA
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.34,-0.01,-0.107%,NA
ERH,Allspring Utilities and High Income Fund Common Shares,$12.65,-0.06,-0.472%,NA
ESHA,ESH Acquisition Corp. Class A Common Stock,$11.35,UNCH,--,NA
ESHAR,ESH Acquisition Corp. Right,$0.22,0.0058,2.708%,NA
ET^I,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred Units,$11.4891,0.0191,0.167%,NA
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,$21.59,-0.01,-0.046%,NA
ETHM,Dynamix Corporation Class A Ordinary Shares,$10.45,0.02,0.192%,NA
ETHMU,Dynamix Corporation Unit,$11.58,0.07,0.608%,NA
ETHMW,Dynamix Corporation Warrant,$2.41,-0.01,-0.413%,NA
ETI^,"Entergy Texas Inc 5.375% Series A Preferred Stock, Cumulative, No Par Value",$23.07,0.14,0.611%,NA
